BookingReference,FirstName,LastName,Gender,DOB,Nationality
ABC123,John,Doe,Male,1990-01-01,American
ABC123,Jane,Doe,Female,1992-02-02,Canadian
ABC124,Michael,Smith,Male,1988-04-15,Australian
ABC124,Emily,Johnson,Female,1991-07-20,British
DEF456,Alice,Wilson,Female,1985-03-03,British
DEF456,Robert,Brown,Male,1984-08-21,American
GHI789,James,Taylor,Male,1978-11-12,Australian
GHI789,Olivia,Moore,Female,1990-05-09,Canadian
JKL012,Lucas,Lee,Male,1989-09-30,New Zealand
JKL012,Emma,Garcia,Female,1993-06-17,American
MNO345,David,Martinez,Male,1982-01-22,Spanish
MNO345,Sophia,Lopez,Female,1987-02-14,Portuguese
PQR678,William,Anderson,Male,1991-07-30,Irish
PQR678,Mia,Thomas,Female,1994-11-25,American
STU901,Benjamin,Walker,Male,1980-12-01,Australian
STU901,Isabella,Harris,Female,1989-03-18,New Zealand
